Honda,Civic,2009,Red,4,-1,2,C
Honda,Odyssey,2016,Black,4,-1,-1,S
Honda,Ridgeline,2011,Red,4,-1,-1,T
Honda,Odyssey,2013,Yellow,4,-1,2,S
Toyota,RAV4,2005,Gray,4,407,0,S
Toyota,Corolla,2016,Gray,4,314,0,C
Chevrolet,Equinox,2014,Black,4,364,0,S
Ford,Raptor,2017,Silver,4,-1,2,T
Honda,HR-V,2017,Green,4,351,0,S
Honda,Odyssey,2008,Black,4,-1,2,S
Toyota,Avalon,2001,Gray,4,67,0,C
Honda,Pilot,2004,Gray,4,-1,1,S
Chevrolet,Equinox,2016,Green,4,-1,2,S
Ford,Fiesta,2010,Gray,4,-1,-1,C
Honda,Pilot,2011,Yellow,4,-1,-1,S
Chevrolet,Colorado,2014,Blue,4,79,0,T
Chevrolet,Equinox,1999,Green,4,-1,1,S
Toyota,Camry,2011,White,4,-1,2,C
Ford,Flex,2014,Blue,4,-1,2,S
Ford,Fusion,2016,Red,4,-1,1,C
Chevrolet,Traverse,2011,Brown,4,369,0,S
Honda,Ridgeline,2000,Silver,4,-1,-1,T
Ford,Flex,2000,White,4,-1,1,S
Honda,Odyssey,2014,Black,4,310,0,S
Toyota,Sienna,2008,Black,4,-1,-1,S
Toyota,Avalon,2015,Black,4,-1,1,C
Toyota,4Runner,2007,Gray,4,-1,2,S
Ford,Flex,2006,Blue,4,-1,2,S
Toyota,Corolla,1999,White,4,-1,1,C
Ford,Raptor,2016,Brown,4,111,0,T
Ford,Flex,2014,Gray,4,-1,2,S
Toyota,Corolla,2014,White,4,16,0,C
Ford,Raptor,2007,Brown,4,-1,2,T
Chevrolet,Impala,1999,Gray,4,-1,-1,C
Toyota,Corolla,2007,Brown,4,-1,1,C
Chevrolet,Colorado,2003,Red,4,296,0,T
Ford,Super Duty,2012,Gray,4,-1,2,T
Honda,Ridgeline,2000,Blue,4,-1,1,T
Ford,Focus,2017,White,4,86,0,C
Honda,HR-V,2014,Blue,4,-1,2,S
Toyota,Corolla,2009,Red,4,-1,1,C
Ford,Super Duty,2004,Brown,4,-1,-1,T
Honda,Pilot,2000,Yellow,4,-1,-1,S
Toyota,Camry,2007,White,4,29,0,C
Chevrolet,Silverado,2011,Black,4,-1,1,T
Honda,CR-V,2000,White,4,-1,-1,S
Toyota,Sienna,2000,Gray,4,-1,-1,S
Ford,Mustang,2006,Yellow,4,-1,2,C
Ford,Fusion,2009,Brown,4,-1,1,C
Ford,Fusion,2001,Gray,4,298,0,C
Toyota,Tacoma,2005,White,4,-1,1,T
Honda,Civic,2002,Yellow,4,-1,-1,C
Ford,Raptor,2010,Yellow,4,-1,1,T
Chevrolet,Tahoe,2016,White,4,371,0,S
Toyota,Sienna,2003,Gray,4,-1,1,S
Toyota,Sequoia,1999,Gray,4,-1,-1,S
Ford,Super Duty,2002,Green,4,-1,1,T
Ford,Fusion,2009,Silver,4,112,0,C
Toyota,Avalon,2004,White,4,-1,1,C
Toyota,Sequoia,2007,Red,4,-1,-1,S
Ford,Fusion,2015,Green,4,-1,2,C
Ford,Mustang,2011,Black,4,-1,-1,C
Ford,Mustang,2009,Brown,4,253,0,C
Ford,Mustang,1999,Blue,4,-1,2,C
Ford,Mustang,2002,Brown,4,-1,1,C
Ford,Mustang,2007,Brown,4,323,0,C
Toyota,Sequoia,2014,Black,4,488,0,S
Chevrolet,Silverado,2008,Green,4,91,0,T
Toyota,Highlander,2011,Blue,4,-1,1,S
Honda,Odyssey,2007,Blue,4,-1,2,S
Honda,Pilot,2000,Yellow,4,-1,2,S
Toyota,4Runner,2017,Red,4,185,0,S
Toyota,4Runner,2017,Brown,4,-1,-1,S
Chevrolet,Malibu,2011,White,4,-1,1,C
Honda,Accord,2000,Green,4,-1,2,C
Chevrolet,Impala,2001,Blue,4,-1,2,C
Chevrolet,Suburban,1999,Green,4,-1,2,S
Honda,Odyssey,2016,White,4,-1,1,S
Toyota,RAV4,2010,Blue,4,-1,1,S
Honda,HR-V,2013,Silver,4,194,0,S
Honda,Odyssey,1999,Yellow,4,-1,-1,S
Toyota,RAV4,2015,Brown,4,486,0,S
Honda,CR-V,2014,Gray,4,-1,2,S
Ford,Mustang,2017,Silver,4,-1,1,C
Chevrolet,Traverse,2012,White,4,-1,2,S
Ford,Fusion,2009,Green,4,184,0,C
Chevrolet,Equinox,2002,Silver,4,437,0,S
Ford,Mustang,2001,Yellow,4,-1,1,C
Honda,HR-V,2003,Black,4,-1,2,S
Chevrolet,Traverse,2008,Black,4,-1,2,S
Toyota,Sequoia,2002,White,4,-1,-1,S
Ford,Fiesta,2012,White,4,-1,-1,C
Chevrolet,Equinox,2001,Blue,4,-1,2,S
Ford,Raptor,2016,Gray,4,210,0,T
Honda,Civic,2006,White,4,82,0,C
Ford,Fiesta,2017,Black,4,244,0,C
Ford,Fusion,2011,Brown,4,-1,-1,C
Toyota,Highlander,2002,Blue,4,-1,1,S
Honda,Pilot,2009,Black,4,-1,2,S
Toyota,Highlander,2006,Red,4,-1,-1,S
Chevrolet,Cruze,2002,Silver,4,-1,2,C
Toyota,Sequoia,2010,Gray,4,-1,2,S
Chevrolet,Suburban,1999,Red,4,-1,2,S
Toyota,Sequoia,2008,Brown,4,61,0,S
Honda,Odyssey,2012,Gray,4,-1,1,S
Chevrolet,Cruze,2001,Silver,4,192,0,C
Honda,CR-V,2002,Silver,4,-1,-1,S
Ford,Escape,2014,Yellow,4,-1,1,S
Ford,Fusion,2017,White,4,-1,1,C
Volkswagen,Passat,2001,White,4,394,0,C
Toyota,Avalon,2017,Red,4,-1,1,C
Chevrolet,Colorado,2004,Gray,4,308,0,T
Honda,CR-V,1999,Blue,4,-1,1,S
Honda,Civic,2010,Red,4,-1,2,C
Ford,Mustang,2013,Blue,4,120,0,C
Toyota,4Runner,2017,White,4,328,0,S
Toyota,Sequoia,2012,Green,4,229,0,S
Chevrolet,Equinox,2003,White,4,-1,-1,S
Toyota,Avalon,2013,Red,4,423,0,C
Ford,Escape,2016,Blue,4,-1,1,S
Ford,Fiesta,2012,Blue,4,2,0,C
Honda,Odyssey,2003,Gray,4,260,0,S
Ford,Mustang,2004,Black,4,-1,-1,C
Ford,Focus,2008,White,4,-1,-1,C
Ford,Focus,2007,Gray,4,-1,-1,C
Toyota,4Runner,1999,Blue,4,-1,2,S
Chevrolet,Impala,2003,Black,4,396,0,C
Ford,Mustang,2012,Green,4,-1,1,C
Chevrolet,Silverado,2004,Black,4,89,0,T
Honda,Fit,1999,Blue,4,-1,-1,C
Ford,Fusion,2015,Silver,4,-1,1,C
Chevrolet,Impala,1999,White,4,-1,1,C
Toyota,Corolla,2007,Red,4,315,0,C
Ford,F-150,2003,Blue,4,-1,2,T
Honda,Pilot,2000,Brown,4,204,0,S
Ford,Explorer,2003,White,4,89,0,S
Toyota,Sienna,2001,Red,4,374,0,S
Ford,Fusion,2011,Gray,4,407,0,C
Chevrolet,Traverse,2007,Gray,4,-1,1,S
Ford,Mustang,2005,White,4,-1,2,C
Chevrolet,Colorado,2005,Yellow,4,379,0,T
Chevrolet,Equinox,2006,Gray,4,-1,2,S
Toyota,RAV4,2016,Brown,4,-1,1,S
Volkswagen,Passat,2012,Black,4,-1,-1,C
Chevrolet,Colorado,2012,Red,4,-1,2,T
Ford,Fiesta,2004,Gray,4,239,0,C
Toyota,Sienna,2017,Brown,4,-1,-1,S
Toyota,Tacoma,2016,Silver,4,-1,-1,T
Honda,Civic,2002,Black,4,322,0,C
Toyota,Avalon,2008,Gray,4,-1,2,C
Honda,Odyssey,2004,Silver,4,-1,1,S
Toyota,Avalon,2006,Black,4,-1,2,C
Honda,Civic,2017,Red,4,-1,1,C
