Toyota,Tundra,2011,Yellow,4,-1
Toyota,Tundra,2003,Brown,4,-1
Toyota,Tundra,2011,Black,4,-1
Toyota,Tundra,2010,Red,4,-1
Toyota,Tundra,1999,Blue,4,-1
Toyota,Tundra,2002,Silver,4,-1
Toyota,Tundra,2002,White,4,-1
Toyota,Tundra,2008,Brown,4,-1
Toyota,Tundra,2015,Yellow,4,-1
Toyota,Tundra,2007,Silver,4,-1
Toyota,Tundra,2014,Black,4,-1
Toyota,Tundra,2001,Red,4,-1
Toyota,Tundra,2008,Red,4,-1
Toyota,Tundra,2008,Brown,4,-1
Toyota,Tundra,2002,Blue,4,-1
Toyota,Tundra,2007,Black,4,-1
Toyota,Tundra,2002,Silver,4,-1
Toyota,Tundra,2004,Red,4,-1
Toyota,Tundra,2009,Silver,4,-1
Toyota,Tundra,2008,Red,4,-1
Toyota,Tundra,2012,Silver,4,-1
Toyota,Tundra,2007,Blue,4,-1
Toyota,Tundra,2014,White,4,-1
Toyota,Tundra,2000,Brown,4,-1
Toyota,Tundra,2006,Green,4,-1
Toyota,Tundra,2011,Silver,4,-1
Toyota,Tundra,2005,Black,4,-1
Toyota,Tundra,2003,Black,4,-1
Toyota,Tundra,2001,Black,4,-1
Toyota,Tundra,2015,Red,4,-1
Toyota,Tacoma,2015,Red,4,-1
Toyota,Tacoma,1999,Red,4,-1
Toyota,Tacoma,2005,Yellow,4,-1
Toyota,Tacoma,2012,Silver,4,-1
Toyota,Tacoma,1999,White,4,-1
Toyota,Tacoma,2011,Red,4,-1
Toyota,Tacoma,2010,Gray,4,-1
Toyota,Tacoma,2008,Blue,4,-1
Toyota,Tacoma,2011,White,4,-1
Toyota,Tacoma,2014,Yellow,4,-1
Toyota,Tacoma,2008,Yellow,4,-1
Toyota,Tacoma,2000,Blue,4,-1
Toyota,Tacoma,2008,Black,4,-1
Toyota,Tacoma,2010,White,4,-1
Toyota,Tacoma,2006,Blue,4,-1
Toyota,Tacoma,2003,Silver,4,-1
Toyota,Tacoma,2008,Gray,4,-1
Toyota,Tacoma,2014,Red,4,-1
Toyota,Tacoma,2000,Black,4,-1
Toyota,Tacoma,2002,Yellow,4,-1
Toyota,Tacoma,2010,Blue,4,-1
Toyota,Tacoma,2003,Brown,4,-1
